pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.1039.6	2	2	3.95	5.57315744448e-06	5.57315744448e-06	1.10069859529e-05
PB.1039.7	0	1	1.7	0.0	2.78657872224e-06	4.73718382781e-06
PB.287.3	0	2	2	0.0	5.57315744448e-06	5.57315744448e-06
PB.287.2	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.287.1	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.2114.1	1	1	2.83333333333	2.78657872224e-06	2.78657872224e-06	7.89530637969e-06
PB.7582.1	5	8	9.0	1.39328936112e-05	2.22926297779e-05	2.50792085002e-05
PB.6912.2	0	0	0.666666666667	0.0	0.0	1.85771914816e-06
PB.7582.3	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.7582.2	1	1	2.0	2.78657872224e-06	2.78657872224e-06	5.57315744448e-06
PB.5387.1	0	3	3	0.0	8.35973616673e-06	8.35973616673e-06
PB.1218.2	0	0	0.7	0.0	0.0	1.95060510557e-06
PB.7592.1	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.6226.1	1	10	10	2.78657872224e-06	2.78657872224e-05	2.78657872224e-05
PB.2300.1	6	21	31.0	1.67194723335e-05	5.85181531671e-05	8.63839403895e-05
PB.2730.1	27	67	69.5	7.52376255005e-05	0.00018670077439	0.000193667221196
PB.6333.1	2	3	4.16666666667	5.57315744448e-06	8.35973616673e-06	1.1610744676e-05
PB.959.1	1	1	2.68333333333	2.78657872224e-06	2.78657872224e-06	7.47731957135e-06
PB.4766.1	0	0	0.333333333333	0.0	0.0	9.28859574081e-07
PB.2009.1	1	3	8.25	2.78657872224e-06	8.35973616673e-06	2.29892744585e-05
PB.186.2	0	0	3.5	0.0	0.0	9.75302552785e-06
PB.3289.3	1	1	2.9	2.78657872224e-06	2.78657872224e-06	8.0810782945e-06
PB.7208.2	0	1	7.16666666667	0.0	2.78657872224e-06	1.99704808427e-05
PB.1418.1	2	2	2	5.57315744448e-06	5.57315744448e-06	5.57315744448e-06
PB.4800.1	1	8	8	2.78657872224e-06	2.22926297779e-05	2.22926297779e-05
PB.4568.1	6	11	11	1.67194723335e-05	3.06523659447e-05	3.06523659447e-05
PB.864.1	0	0	0.833333333333	0.0	0.0	2.3221489352e-06
PB.2786.4	0	0	0.25	0.0	0.0	6.96644680561e-07
PB.3082.1	1	3	3	2.78657872224e-06	8.35973616673e-06	8.35973616673e-06
PB.722.2	0	0	2.0	0.0	0.0	5.57315744448e-06
PB.3718.3	0	0	0.2	0.0	0.0	5.57315744448e-07
PB.4788.1	16	31	31.5	4.45852595559e-05	8.63839403895e-05	8.77772297506e-05
PB.7717.1	0	7	7	0.0	1.95060510557e-05	1.95060510557e-05
