NSC	NSC	OLD	OLD
PB.1185.3	214.49	114.77	263.82	172.84
PB.1186.1	5478	6149	2975	2888
PB.1187.1	1715	1032	772	586
PB.1188.1	3901.31	2171.29	1205.87	1087.67
PB.1188.2	599.69	355.71	264.13	249.33
PB.1189.1	962.15	569.72	749.82	753.45
PB.1189.2	889.85	407.28	503.18	451.55
PB.119.1	1844	967	2270	1872
PB.1190.1	1021	887	417	399
PB.1191.1	827	819	186	161
PB.1192.1	14	10	1093	1076
PB.1193.1	1308	829	1405	1307
PB.1194.1	1789.49	1314.38	1244.83	1330.03
PB.1194.2	3416.38	1551.27	1490.48	1409.12
PB.1194.3	1733.14	352.35	1210.69	1120.85
PB.1195.1	3	6	598	465
PB.1196.1	2905	1880	1849	1579
PB.1197.1	140.83	150.62	74.01	24.46
PB.1197.2	1131.35	690.66	966.42	435.63
PB.1197.3	2410.93	1568.13	1368.6	1237.32
PB.1197.4	3203.68	2166.4	668.91	1435.9
PB.1197.5	299.36	177.45	202.69	127.96
PB.1197.6	473.85	831.76	756.37	386.71
PB.1198.1	30	26	20	8
PB.1199.1	686.41	356.62	1595.14	1318.34
PB.1199.2	35.59	18.38	1023.86	991.66
PB.12.1	575	495	529	479
PB.120.1	1710.29	961.84	1297.38	1292.62
PB.120.2	191.66	93.92	153.79	159.55
PB.120.3	801.78	948.62	800.8	782.11
PB.120.4	1438.13	708.39	1766.7	1578.84
PB.120.5	1584.39	1235.49	917.31	902.61
PB.120.6	397.74	158.75	168.02	302.28
PB.1200.1	2877	2062	1376	1368
PB.1201.1	868	624	419	397
PB.1202.1	246	140	450	453
PB.1203.1	2783	2165.41	2725.66	2311.71
PB.1203.2	74.14	42.86	104.68	42.51
PB.1203.3	2.87	2.72	3.65	3.78
PB.1204.1	3883	2803	1415	1475
PB.1205.1	683	550	472	500
PB.1206.1	3985	3372	2427	2456
PB.1207.1	197	220	68	65
PB.1208.1	873.64	843.71	2330.05	2337.21
PB.1208.2	440.42	425.78	1516.27	1339.72
PB.1208.3	255.94	236.51	670.68	646.07
PB.1209.1	668.36	490.78	11.73	46.25
PB.1209.2	270.64	167.22	33.27	3.75
PB.121.1	2551.22	2193.66	1041.17	1024.16
PB.121.2	80.78	50.34	49.83	24.84
PB.1210.1	4246	3436	1464	1348
PB.1211.1	223.71	423.84	243.42	198.69
PB.1211.2	1352.66	972.97	707.59	402.32
PB.1211.3	88.31	86.73	26.97	94.01
PB.1211.4	1688.33	855.67	637.19	617.75
PB.1211.5	666.05	362.24	397.25	336.6
PB.1211.6	38.7	50.65	22.81	23.96
PB.1211.7	502.25	274.89	221.77	137.67
PB.1212.1	576	341	237	276
PB.1213.1	1542.84	582.22	652.88	526.09
PB.1213.2	7201.16	2108.78	3968.12	3345.91
PB.1214.1	909.66	499.83	490.48	450.4
PB.1215.1	5471.84	4503.9	3405.98	3078.2
PB.1215.2	115.49	113.28	94.54	66.4
PB.1216.1	2085	1177	567	581
PB.1217.1	102	59	181	174
PB.1218.1	265.25	79.95	802.06	686.35
PB.1218.2	1228.47	427.17	3788.83	2349.72
PB.1218.3	553.61	529.46	4622.19	5001.3
PB.1218.4	997.45	259.59	2654.99	2154.32
PB.1218.5	6091.58	4009.17	8661.14	8393.17
PB.1218.6	7685.64	5004.66	9715.78	8308.14
PB.1219.1	3186	2574	1315	1373
PB.122.1	685	421	2295	1973
PB.1220.1	995.85	502.86	1640.86	601.34
PB.1220.2	8226.28	6685.68	6944.42	5653.05
PB.1220.3	1283.87	1105.83	811.59	729.15
PB.1220.4	8455	7500.62	5310.13	5594.46
PB.1221.1	899	394	527	452
PB.1222.1	708	570	1118	956
PB.1223.1	32.8	16.27	118.17	87.59
PB.1224.1	8025	6403	4581	4136
PB.1225.1	4205.03	2971.13	796.43	688.9
PB.1225.2	869.97	1041.87	260.57	209.1
PB.1226.1	1679	1364	533	485
PB.1227.1	430.8	396.23	8310.41	7214.69
PB.1227.2	46.87	99.95	2319.54	2882.36
PB.1227.3	61.93	55.89	583.7	459.62
PB.1227.4	173.49	50.94	1113.27	1859.76
PB.1227.5	61.59	55.85	1057.93	1145.51
PB.1227.6	108.97	149.03	1947.65	1037.24
PB.1227.7	10.96	5.83	159.26	145.58
PB.1227.8	6.4	7.28	69.25	73.24
PB.1228.1	1073	1058	1057	963
PB.1229.1	3323	3004	2889	3038
PB.123.1	22809	18155	15063	14679
PB.1230.1	829.93	150.78	2019.29	1947.11
PB.1230.10	76.63	51.3	474.27	628.4
PB.1230.11	122.98	42.91	233.87	189.6
PB.1230.2	238	38.84	337.07	297.19
PB.1230.3	788.16	235.97	959.72	1277.62
PB.1230.4	77.95	19.6	166.27	134.57
PB.1230.5	42.99	44.41	107.08	114.95
PB.1230.6	1749.09	1008.97	4753.25	3774.29
PB.1230.7	858.75	249.11	1504.33	1165.11
PB.1230.8	157.31	59.84	429.7	201.72
PB.1230.9	35.2	33.29	231.16	69.44
PB.1231.1	657	278	768	689
PB.1232.1	756.27	734.71	152.96	198.3
PB.1232.2	1916.73	1871.29	293.05	234.7
PB.1233.1	3115	2743	1778	1578
PB.1234.1	357.1	196.1	336.8	187
PB.1234.2	3705.9	2196.9	2960.2	2627
PB.1235.1	3677	2226	2443	2072
PB.1236.1	63	32	38	33
PB.1237.1	3326	2829	2852	2732
PB.1238.1	836	710	384	392
PB.1239.1	13399	6981	5397	5006
PB.124.1	494.01	342.25	613.49	247.26
PB.124.2	4745.68	3443.24	1069.38	1138.74
PB.124.3	7245.31	5866.52	2270.13	1940
PB.1240.1	923	3241	152	187
PB.1241.1	1983.46	997.33	1582.15	1338.95
PB.1241.2	66.23	129.78	209.76	202.4
PB.1241.3	34.31	50.89	39.09	35.65
PB.1242.1	1197.21	755.41	625.32	589.34
PB.1242.2	947.81	281.36	248.91	166.62
PB.1242.3	3569.98	1923.23	1535.78	1418.04
PB.1243.1	594	371	324	311
PB.1244.1	1157	970	293	254
PB.1245.1	46612	36160	15663	17441
PB.1246.1	5917.58	2982.93	3943.05	3554.55
PB.1246.2	1338.42	1196.07	582.95	949.45
PB.1247.1	1597.18	2006.2	949.89	762.42
PB.1247.2	9462.82	4467.8	5856.11	4105.58
PB.1248.1	18.17	27.6	61.79	20.89
PB.1248.2	1464.98	883	3677.1	3491.08
PB.1248.3	548.85	690.39	84.11	52.03
PB.1249.1	336.09	193.71	323.81	237.98
PB.1249.2	3427.91	2670.29	1296.19	1449.02
PB.125.1	1492	1361	1229	1001
PB.1250.1	1947	635	3345	3114
PB.1251.1	2268.57	1468.38	1402.73	1204.43
PB.1251.2	1635.43	1068.62	985.27	879.57
PB.1252.1	3932.22	3344.85	3823.46	3541.08
PB.1252.2	4485.89	3911.11	5549.9	5427.68
PB.1252.3	501.89	561.03	626.64	449.24
PB.1253.1	3215.16	2064.28	5669.7	6335.78
PB.1253.2	366.08	236.62	400.51	288.47
PB.1253.3	1061.06	380.98	668.48	1261.6
